time,heading,speedDelta
19,7.536273,100
39,7.537899,100
59,7.539880,100
79,7.536492,100
99,7.537544,100
119,7.537271,100
139,7.539115,100
159,7.544197,100
179,7.545808,100
199,7.549319,100
219,7.555931,100
239,7.563034,100
259,7.556545,100
279,7.609575,100
299,7.966084,100
319,8.843818,100
339,10.180855,100
359,11.810838,100
379,13.547973,100
399,15.411085,100
419,17.314236,100
439,19.260785,100
459,21.215736,100
479,23.198963,100
499,25.155156,100
519,27.127416,100
539,29.097118,100
559,31.070058,100
579,33.027970,100
599,34.979212,100
619,36.951129,100
639,38.912711,100
659,40.865426,100
679,42.825483,100
699,44.764290,100
719,46.769867,100
739,48.763738,100
759,50.797704,100
779,52.799978,-100
799,54.898450,-100
819,56.958153,-100
839,59.017123,-100
859,61.028791,-100
879,63.013647,-100
899,64.947806,-100
919,66.815847,-100
939,68.586470,-100
959,70.242486,-100
979,71.713387,-100
999,72.988929,-100
1019,74.090939,-100
1039,75.015614,-100
1059,75.758268,-100
1079,76.315242,-100
1099,76.686333,-100
1119,76.843346,-100
1139,76.762938,-100
1159,76.738648,-100
1179,76.719050,-100
1199,76.698505,-100
1219,76.695047,-100
1239,76.674463,-100
1259,76.560313,-100
1279,76.349261,-100
1299,75.572341,-100
1319,74.042529,-100
1339,72.176155,-100
1359,70.221572,-100
1379,68.219682,-100
1399,66.176823,-100
1419,64.130544,-100
1439,62.117565,-100
1459,60.102425,-100
1479,58.109380,-100
1499,56.130342,-100
1519,54.180470,-100
1539,52.223269,-100
1559,50.243974,-100
1579,48.246785,-100
1599,46.253075,-100
1619,44.231411,-100
1639,42.219642,-100
1659,40.175182,-100
1679,38.165494,-100
1699,36.158035,-100
1719,34.160655,-100
1739,32.153915,-100
1759,30.169581,-100
1779,28.195548,-100
1799,26.232388,-100
1819,24.271794,-100
1839,22.310178,-100
1859,20.343985,-100
1879,18.376453,-100
1899,16.377420,-100
1919,14.433959,-100
1939,12.498611,-100
1959,10.556529,-100
1979,8.571444,-100
1999,6.651764,-100
2019,4.722113,-100
2039,2.824440,-100
2059,0.886019,-100
2079,-1.054984,-100
2099,-2.995878,-100
2119,-4.968341,-100
2139,-6.993601,-100
2159,-8.998768,-100
2179,-11.030216,-100
2199,-13.057594,-100
2219,-15.142085,-100
2239,-17.201360,-100
2259,-19.247754,-100
2279,-21.220559,-100
2299,-23.187228,-100
2319,-25.174309,-100
2339,-27.175663,-100
2359,-29.159929,-100
2379,-31.165477,-100
2399,-33.163894,-100
2419,-35.168254,-100
2439,-37.163162,-100
2459,-39.162058,100
2479,-41.146036,100
2499,-43.159617,100
2519,-45.135809,100
2539,-47.084407,100
2559,-48.983105,100
2579,-50.846449,100
2599,-52.643824,100
2619,-54.330542,100
2639,-55.884916,100
2659,-57.272510,100
2679,-58.479334,100
2699,-59.464168,100
2719,-60.254256,100
2739,-60.845273,100
2759,-61.236914,100
2779,-61.457093,100
2799,-61.489042,100
2819,-61.533824,100
2839,-61.558619,100
2859,-61.521531,100
2879,-61.450385,100
2899,-61.386316,100
2919,-61.345585,100
2939,-61.313699,100
2959,-60.849508,100
2979,-59.711746,100
2999,-58.168247,100
3019,-56.343686,100
3039,-54.423418,100
3059,-52.503068,100
3079,-50.547489,100
3099,-48.553866,100
3119,-46.500700,100
3139,-44.440822,100
3159,-42.364391,100
3179,-40.315526,100
3199,-38.256661,100
3219,-36.243109,100
3239,-34.224802,100
3259,-32.240795,100
3279,-30.254739,100
3299,-28.311905,100
3319,-26.365494,100
3339,-24.416937,100
3359,-22.430895,100
3379,-20.437177,100
3399,-18.424920,100
3419,-16.442745,100
3439,-14.431363,100
3459,-12.458504,100
3479,-10.511395,100
3499,-8.558138,100
3519,-6.586645,100
3539,-4.623048,100
3559,-2.655338,100
3579,-0.681277,100
3599,1.308630,100
3619,3.268048,100
3639,5.209898,100
3659,7.143142,100
3679,9.083653,100
3699,11.034205,100
3719,12.993773,100
3739,14.970292,100
3759,16.960528,100
3779,18.939753,100
3799,20.917009,100
3819,22.896057,100
3839,24.854423,100
3859,26.789894,100
3879,28.712374,100
3899,30.636834,100
3919,32.548412,100
3939,34.503231,100
3959,36.466486,100
3979,38.429782,100
3999,40.382485,100
4019,42.320008,100
4039,44.279977,100
4059,46.231553,100
4079,48.183858,100
4099,50.128969,100
4119,52.145358,100
4139,54.110451,-100
4159,56.153631,-100
4179,58.162190,-100
4199,60.167776,-100
4219,62.139568,-100
4239,64.050345,-100
4259,65.910225,-100
4279,67.701408,-100
4299,69.400400,-100
4319,70.993533,-100
4339,72.400000,-100
4359,73.612799,-100
4379,74.670669,-100
4399,75.568378,-100
4419,76.288902,-100
4439,76.820717,-100
4459,77.157605,-100
4479,77.257412,-100
4499,77.150577,-100
4519,77.157887,-100
4539,77.124174,-100
4559,77.106539,-100
4579,77.098131,-100
4599,77.028962,-100
4619,76.850831,-100
4639,76.539277,-100
4659,75.554214,-100
4679,73.902127,-100
4699,71.988188,-100
4719,70.062917,-100
4739,68.078435,-100
4759,66.053066,-100
4779,64.001775,-100
4799,61.991268,-100
4819,59.971300,-100
4839,58.010034,-100
4859,56.037053,-100
4879,54.093806,-100
4899,52.121830,-100
4919,50.130645,-100
4939,48.106767,-100
4959,46.089942,-100
4979,44.059429,-100
4999,42.039864,-100
5019,39.982079,-100
5039,37.938645,-100
5059,35.884097,-100
5079,33.856644,-100
5099,31.820478,-100
5119,29.817704,-100
5139,27.831689,-100
5159,25.858967,-100
5179,23.879208,-100
5199,21.907196,-100
5219,19.903616,-100
5239,17.924691,-100
5259,15.925686,-100
5279,13.966761,-100
5299,11.990131,-100
5319,10.008761,-100
5339,7.967013,-100
5359,5.986859,-100
5379,4.002552,-100
5399,2.038477,-100
5419,0.064224,-100
5439,-1.905875,-100
5459,-3.887573,-100
5479,-5.855856,-100
5499,-7.838987,-100
5519,-9.841599,-100
5539,-11.889618,-100
5559,-13.893268,-100
5579,-15.901179,-100
5599,-17.904692,-100
5619,-19.895761,-100
5639,-21.883045,-100
5659,-23.851778,-100
5679,-25.849377,-100
5699,-27.852780,-100
5719,-29.847715,-100
5739,-31.870066,-100
5759,-33.894820,-100
5779,-35.931501,-100
5799,-37.939699,100
5819,-39.957270,100
5839,-41.945618,100
5859,-43.945527,100
5879,-45.879837,100
5899,-47.793902,100
5919,-49.642097,100
5939,-51.449308,100
5959,-53.165027,100
5979,-54.745818,100
5999,-56.175881,100
6019,-57.402527,100
6039,-58.441716,100
6059,-59.276323,100
6079,-59.882120,100
6099,-60.265568,100
6119,-60.477373,100
6139,-60.538513,100
6159,-60.618591,100
6179,-60.700747,100
6199,-60.730909,100
6219,-60.689761,100
6239,-60.597021,100
6259,-60.477290,100
6279,-60.043830,100
6299,-59.195590,100
6319,-58.013147,100
6339,-56.542951,100
6359,-54.764668,100
6379,-52.842054,100
6399,-50.943521,100
6419,-49.011903,100
6439,-47.046528,100
6459,-45.033194,100
6479,-43.001948,100
6499,-40.952945,100
6519,-38.929256,100
6539,-36.917288,100
6559,-34.929757,100
6579,-32.943881,100
6599,-31.015171,100
6619,-29.076546,100
6639,-27.183230,100
6659,-25.263662,100
6699,-23.316483,100
6719,-21.374087,100
6739,-19.406719,100
6759,-17.435881,100
6779,-15.445551,100
6799,-13.486324,100
6819,-11.491199,100
6839,-9.503231,100
6859,-7.499691,100
6879,-5.547978,100
6899,-3.569218,100
6919,-1.576196,100
6939,0.420951,100
6959,2.382431,100
6979,4.341466,100
6999,6.272812,100
7019,8.258989,100
7039,10.216316,100
7059,12.214106,100
7079,14.208248,100
7099,16.214658,100
7119,18.196805,100
7139,20.175798,100
7159,22.121952,100
7179,24.077734,100
7199,26.026974,100
7219,27.997554,100
7239,29.954854,100
7259,31.920608,100
7279,33.881109,100
7299,35.848476,100
7319,37.795955,100
7339,39.722117,100
7359,41.673193,100
7379,43.623467,100
7399,45.565932,100
7419,47.525401,100
7439,49.520554,100
7459,51.542868,100
7479,53.608002,-100
7499,55.636659,-100
7519,57.661975,-100
7539,59.662306,-100
7559,61.609278,-100
7579,63.524242,-100
7599,65.412497,-100
7619,67.248947,-100
7639,69.011386,-100
7659,70.640014,-100
7679,72.097180,-100
7699,73.374237,-100
7719,74.489021,-100
7739,75.435261,-100
7759,76.173519,-100
7779,76.706398,-100
7799,77.076692,-100
7819,77.230082,-100
7839,77.167451,-100
7859,77.139581,-100
7879,77.129639,-100
7899,77.094163,-100
7919,77.093629,-100
7939,77.051577,-100
7959,76.947034,-100
7979,76.712853,-100
7999,75.824969,-100
8019,74.228393,-100
8039,72.337529,-100
8059,70.401554,-100
8079,68.371566,-100
8099,66.311338,-100
8119,64.229418,-100
8139,62.187249,-100
8159,60.141456,-100
8179,58.124334,-100
8199,56.115542,-100
8219,54.150716,-100
8239,52.181926,-100
8259,50.235057,-100
8279,48.235250,-100
8299,46.245731,-100
8319,44.224578,-100
8339,42.234893,-100
8359,40.224080,-100
8379,38.213341,-100
8399,36.182561,-100
8419,34.181958,-100
8439,32.139750,-100
8459,30.107794,-100
8479,28.056088,-100
8499,26.047711,-100
8519,24.064171,-100
8539,22.073061,-100
8559,20.068072,-100
8579,18.106101,-100
8599,16.145508,-100
8619,14.193864,-100
8639,12.263366,-100
8659,10.293225,-100
8679,8.323084,-100
8699,6.304053,-100
8719,4.306960,-100
8739,2.324566,-100
8759,0.357663,-100
8779,-1.650331,-100
8799,-3.633722,-100
8819,-5.606732,-100
8839,-7.590696,-100
8859,-9.582489,-100
8879,-11.577205,-100
8899,-13.610306,-100
8919,-15.641591,-100
8939,-17.669993,-100
8959,-19.692385,-100
8979,-21.665559,-100
8999,-23.655385,-100
9019,-25.635292,-100
9039,-27.644023,-100
9059,-29.629805,-100
9079,-31.637089,-100
9099,-33.668413,-100
9119,-35.678757,-100
9139,-37.691696,100
9159,-39.694607,100
9179,-41.707984,100
9199,-43.686006,100
9219,-45.631065,100
9239,-47.519505,100
9259,-49.366703,100
9279,-51.176085,100
9299,-52.907347,100
9319,-54.496721,100
9339,-55.888384,100
9359,-57.088147,100
9379,-58.096037,100
9399,-58.925631,100
9419,-59.540229,100
9439,-59.977672,100
9459,-60.241045,100
9479,-60.277657,100
9499,-60.291698,100
9519,-60.313079,100
9539,-60.260919,100
9559,-60.188249,100
9579,-60.131174,100
9599,-59.983180,100
9619,-59.513001,100
9639,-58.766136,100
9659,-57.710938,100
9679,-56.287529,100
9699,-54.512715,100
9719,-52.585836,100
9739,-50.673165,100
9759,-48.768881,100
9779,-46.759565,100
9799,-44.729412,100
9819,-42.664594,100
9839,-40.641464,100
9859,-38.657717,100
9879,-36.695293,100
9899,-34.696795,100
9919,-32.724836,100
9939,-30.740271,100
9959,-28.809704,100
9979,-26.862363,100
9999,-24.937274,100
10019,-22.995614,100
10039,-21.078476,100
10059,-19.159453,100
10079,-17.253680,100
10099,-15.299548,100
10119,-13.355978,100
10139,-11.373187,100
10159,-9.404645,100
10179,-7.399656,100
10199,-5.431715,100
10219,-3.453323,100
10239,-1.467787,100
10259,0.530617,100
10279,2.485813,100
10299,4.459492,100
10319,6.394936,100
10339,8.349162,100
10359,10.292337,100
10379,12.290864,100
10399,14.297382,100
10419,16.300895,100
10439,18.282319,100
10459,20.243799,100
10479,22.188095,100
